"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2010,67,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)","Rick Riordan",4.8,5727,0.94
2010,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","Timothy Ferriss",4.5,10766,8.19
2010,69,"Full Dark, No Stars","Stephen King",4.6,2423,1.33
2010,70,"Sizzling Sixteen (Stephanie Plum Novels)","Janet Evanovich",4.5,1906,0.5
2010,71,"The Grand Design","Stephen Hawking",4.4,2006,19.95
2010,72,"The Overton Window","Glenn Beck",4.5,1095,12.31
2010,73,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young",4.9,21922,7.26
2010,74,"Spoken from the Heart","Laura Bush",4.6,563,14
2010,75,"Diary of a Wimpy Kid Do-it-yourself Book","Jeff Kinney",4.7,4628,19
2010,76,"The Book of Awakening: Having the Life You Want by Being Present to the Life You Have","Mark Nepo",4.7,2475,26.08
2010,77,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","Julia Child",4.8,3740,9.63
2010,78,"Safe Haven","Nicholas Sparks",4.7,8952,17.89
2010,79,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted","Daniel G. Amen",4.4,610,11.75
2010,80,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet","Alicia Silverstone",4.5,1264,18.41
2010,81,"Decoded","Jay-Z",4.7,965,41.08
2010,82,"The Glass Castle: A Memoir","Jeannette Walls",4.6,11053,1.55
2010,83,"The Shack: Where Tragedy Confronts Eternity","William P. Young",4.7,20680,8.25
2010,84,"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer",4.7,11686,16.18
2010,85,"Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire)","Charlaine Harris",4.7,1083,17.5
2010,86,"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer",4.7,10026,0.94
2010,87,"Hotel on the Corner of Bitter and Sweet","Jamie Ford",4.6,4464,13.14
2010,88,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Timothy Ferriss",4.4,5152,22
2010,89,"Crucial Conversations: Tools for Talking When Stakes are High","Kerry Patterson",4.6,594,16.99
2010,90,"Happy Ever After (Bride Quartet, Book 4)","Nora Roberts",4.7,1156,9.76
2010,91,"A Guide to the Project Management Body of Knowledge","Project Management Institute",4.3,611,17.89
2010,92,"Savor the Moment (The Bride Quartet, Book 3)","Nora Roberts",4.7,1098,14.99
2010,93,"The Book Thief","Markus Zusak",4.6,25974,0.35
2010,94,"The Catcher in the Rye","J. D. Salinger",4.5,14641,6.82
2010,95,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…","Thomas Campbell",4.7,4849,16.17
2010,96,"American Assassin: A Thriller (A Mitch Rapp Novel)","Vince Flynn",4.6,4049,17.12
2010,97,"Rework","Jason Fried",4.5,2667,21.78
2010,98,"In Defense of Food: An Eater's Manifesto","Michael Pollan",4.6,1884,13.69
2010,99,"Squirrel Seeks Chipmunk: A Modest Bestiary","David Sedaris",3.9,740,17.89
2010,100,"Who Moved My Cheese","Spencer Johnson",4.6,9491,8.84
2011,1,"Steve Jobs: The Exclusive Biography","Walter Isaacson",4.6,8489,16.85
2011,2,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo",4.7,16128,7.54
2011,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","Jeff Kinney",4.8,5919,15.99
2011,4,"StrengthsFinder 2.0","Tom Rath",4,5517,15.79
2011,5,"The Hunger Games (Book 1)","Suzanne Collins",4.7,34030,8.79
2011,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand",4.8,30700,20.98
