title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
Against All Odds,Against #1,3.92,English,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Adult', 'Marriage', 'Dark', 'Drama', 'Love', 'Erotica']",Kindle Edition,323,Angie McKeon,4/2/2014,0,2712,"['1010', '905', '486', '181', '130']",89,Missing,Missing,Craig Challen,Missing,Missing,,,,,,,
Alexander Hamilton,Missing,4.21,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical', 'Biography Memoir', 'American Revolution', 'Unfinished']",Paperback,818,Penguin Books,3/29/2005,"['George Washington Book Prize (2005)', 'National Book Critics Circle Award Nominee for Biography (2004)']",128855,"['64142', '40687', '15129', '4615', '4282']",93,['United States of America'],2016,Ron Chernow,13071,3.01,,,,,,,
All the Light We Cannot See,Missing,4.33,English,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",Hardcover,531,Scribner,5/6/2014,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442,"['541185', '329482', '113565', '27961', '12249']",96,"['Paris (France)', 'Zollverein (Germany)', 'Evreux (France)', 'Saint-Malo (France)', 'Essen (Germany)', 'Berlin (Germany)', 'Schulpforte (Germany)', 'Vienna (Austria)', 'Épernay (France)', 'Nuremberg (Germany)']",2014,Anthony Doerr,40382,14.52,,,,,,,
Allegiant,Divergent #3,3.62,English,"['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",Paperback,526,HarperCollins Children's Book's,10/22/2013,['Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013)'],826865,"['230358', '237634', '218195', '98788', '41890']",83,"['Chicago, Illinois (United States)']",2013,Veronica Roth,7030,13.71,,,,,,,
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Missing,4,English,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Paperback,528,HarperCollins,1/3/2012,0,110501,"['44354', '35275', '20950', '6607', '3315']",91,Missing,2015,Chris Kyle,16858,0.35,,,,,,,
And the Mountains Echoed,Missing,4.05,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",Hardcover,404,Riverhead Books,5/21/2013,"['Australian Book Industry Award (ABIA) Nominee for International Book (2014)', 'Andrew Carnegie Medal Nominee for Fiction (2014)', 'Goodreads Choice Award for Fiction (2013)', 'DSC Prize Nominee for South Asian Literature  for Longlist (2015)']",301931,"['107293', '121481', '58470', '11635', '3052']",95,"['Kabul (Afghanistan)', 'California (United States)', 'Paris (France)', 'Tinos (Greece)', 'Afghanistan']",2013,Khaled Hosseini,12984,19.95,,,,,,,
Animal Farm,Missing,3.95,English,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']",Mass Market Paperback,141,Signet Classics,4/28/1996,"['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']",2740713,"['986764', '958699', '545475', '165093', '84682']",91,"['England', 'United Kingdom']",Missing,George Orwell,Missing,Missing,,,,,,,
Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante #1,4.33,English,"['Young Adult', 'LGBT', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Queer', 'Coming Of Age', 'Young Adult Contemporary']",Hardcover,359,Simon & Schuster Books for Young Readers,2/21/2012,"['Stonewall Book Award for Children’s and Young Adult Literature (2013)', 'Michael L. Printz Award Nominee (2016)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2015)"", ""Lambda Literary Award for LGBT Children's/Young Adult (2013)"", 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2015)', 'Amelia Elizabeth Walden Award Nominee (2013)', 'Lincoln Award Nominee (2016)', 'Pura Belpré Award for Narrative (2013)', 'Les Incorruptibles (2017)']",259916,"['145725', '72372', '29294', '7968', '4557']",95,"['El Paso, Texas (United States)', 'Texas (United States)']",Missing,Benjamin Alire Saenz,Missing,Missing,,,,,,,
Astrophysics for People in a Hurry,Missing,4.08,English,"['Nonfiction', 'Science', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History', 'Popular Science', 'Adult', 'Education']",Hardcover,224,W. W. Norton Company,5/2/2017,"['Grammy Award Nominee for Best Spoken Word Album (2018)', 'Goodreads Choice Award for Science & Technology (2017)']",113066,"['41004', '46546', '20275', '3691', '1550']",95,Missing,2017,Neil deGrasse Tyson,12157,9.49,,,,,,,
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,Missing,4.34,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business', 'Leadership', 'Health', 'Science']",Kindle Edition,319,Avery,10/16/2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],125755,"['66905', '41442', '13018', '2646', '1744']",97,Missing,2019,James Clear,21640,11.98,,,,,,,
Awful Auntie,Missing,4.21,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Fantasy', 'Audiobook', 'Comedy', 'Novels', 'Adventure', 'Young Adult']",Hardcover,416,HarperCollinsChildren'sBooks,9/25/2014,['Specsavers National Book Award for Children’s Book of the Year; Audible.co.uk Audiobook of the Year (2014)'],7946,"['3974', '2318', '1157', '325', '172']",94,Missing,Missing,David Walliams,Missing,Missing,,,,,,,
Bad Blood,Alexandra Cooper #9,3.87,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Legal Thriller', 'Novels', 'Audiobook', 'New York']",Hardcover,416,Scribner Book Company,1/16/2007,0,4080,"['1104', '1686', '1026', '169', '95']",94,Missing,Missing,John Carreyrou,Missing,Missing,,,,,,,
Bared to You,Crossfire #1,4.18,English,"['Romance', 'Erotica', 'Contemporary', 'Adult', 'Contemporary Romance', 'Erotic Romance', 'Fiction', 'BDSM', 'New Adult', 'Chick Lit']",Paperback,334,Berkley,2/4/2014,"['All About Romance (AAR) Annual Reader Poll for Best Erotic Romance AND Most Tortured Hero (2013)', 'Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)']",453822,"['230795', '121473', '66084', '23103', '12367']",92,"['New York City, New York (United States)']",2012,Sylvia Day,10507,10,,,,,,,
Becoming,Missing,4.53,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir', 'Feminism', 'Adult', 'History']",Hardcover,426,Crown,11/13/2018,"['Los Angeles Times Book Prize Nominee for Current Interest (2018)', 'Goodreads Choice Award Nominee for Memoir & Autobiography (2018)', 'NAACP Image Award Nominee for Biography/Autobiography (2019)']",564220,"['367532', '148090', '35595', '6952', '6051']",98,Missing,Missing,Michelle Obama,Missing,Missing,,,,,,,
Before We Were Yours,Missing,4.37,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Book Club', 'Adult', 'Adult Fiction', 'Family', 'Adoption', 'Contemporary']",Hardcover,342,Ballantine Books,6/6/2017,['Goodreads Choice Award for Historical Fiction (2017) and Nominee for Best of the Best  (2018)'],376030,"['196193', '134526', '36157', '6289', '2865']",98,"['Memphis, Tennessee (United States)', 'South Carolina (United States)']",Missing,Lisa Wingate,Missing,Missing,,,,,,,
Before the Coffee Gets Cold,Before the Coffee Gets Cold #1,3.77,English,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Time Travel', 'Japan', 'Japanese Literature', 'Science Fiction', 'Adult', 'Asia']",Paperback,213,Picador,9/19/2019,['本屋大賞 for 10th place (2017)'],14385,"['3351', '5829', '3993', '977', '235']",92,Missing,Missing,Toshikazu Kawaguchi,Missing,Missing,,,,,,,
Being Mortal: Medicine and What Matters in the End,Missing,4.44,English,"['Nonfiction', 'Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Audiobook', 'Death', 'Psychology', 'Memoir']",Hardcover,282,Metropolitan Books,10/7/2014,"['Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2014)', 'Royal Society of Biology General Book Prize (2015)']",132493,"['79068', '38645', '10263', '2692', '1825']",97,Missing,2015,Atul Gawande,12749,24.99,,,,,,,
Between the World and Me,Missing,4.39,English,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Biography', 'Social Justice', 'Essays', 'Politics', 'African American']",Hardcover,152,Spiegel & Grau,7/14/2015,"['Pulitzer Prize Nominee for General Nonfiction (2016)', 'National Book Award for Nonfiction (2015)', 'ALA Alex Award (2016)', 'PEN/Diamonstein-Spielvogel Award for the Art of the Essay  (2016)', 'National Book Critics Circle Award Nominee for Criticism (2015)', 'NAIBA Book of the Year for Nonfiction (2016)', 'Kirkus Prize for Nonfiction (2015)', 'Goodreads Choice Award Nominee for Nonfiction (2015)']",235339,"['136056', '69174', '20504', '5880', '3725']",96,['United States of America'],2015,Ta-Nehisi Coates,14486,17.29,,,,,,,
Big Little Lies,Missing,4.27,English,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Thriller', 'Mystery Thriller', 'Adult Fiction', 'Australia']",Paperback,460,Berkley Books,2/9/2017,"['Davitt Award for Best Adult Novel (2015)', 'Australian Book Industry Award (ABIA) Nominee for General Fiction (2015)', 'Goodreads Choice Award Nominee for Fiction (2014)']",747614,"['345232', '292031', '86241', '15575', '8535']",97,"['Sydney, New South Wales (Australia)']",2017,Liane Moriarty,23894,7.78,,,,,,,
Billionaire Boy,Missing,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'School', 'Novels', 'Comedy', 'Family', 'Contemporary', 'Chapter Books']",Hardcover,240,HarperCollins,10/28/2010,0,10605,"['5181', '3240', '1649', '372', '163']",95,Missing,Missing,David Walliams,Missing,Missing,,,,,,,
Blue Moon,The Immortals #2,3.61,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Teen']",Paperback,284,St. Martin's Griffin,7/7/2009,"[""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010)""]",87332,"['24272', '24013', '23916', '10558', '4573']",83,"['Laguna Beach, California (United States)']",Missing,Lee Child,Missing,Missing,,,,,,,
Boomerang: Travels in the New Third World,Missing,3.9,English,"['Nonfiction', 'Economics', 'Business', 'Finance', 'History', 'Politics', 'Travel', 'Audiobook', 'Journalism', 'Money']",Paperback,218,W. W. Norton Company,9/4/2012,['Goodreads Choice Award Nominee for Nonfiction (2011)'],40789,"['11814', '16937', '9234', '1877', '927']",93,Missing,2011,Michael Lewis,1448,15.99,,,,,,,
Born to Run,Missing,4.18,English,"['Animals', 'Fiction', 'Childrens', 'Novels', 'Adventure', 'Middle Grade', 'Dogs', 'Chapter Books', 'School', 'Health']",Paperback,251,HarperCollins Children's Books,6/1/2008,['Manchester Book Award  Nominee for Longlist (2009)'],5309,"['2308', '1879', '931', '154', '37']",96,Missing,2016,Bruce Springsteen,4288,2.5,,,,,,,
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Missing,4.29,English,"['Nonfiction', 'Sports', 'Health', 'Fitness', 'Adventure', 'Science', 'Memoir', 'Audiobook', 'Travel', 'Biography']",Hardcover,287,Knopf,5/5/2018,['Goodreads Choice Award Nominee for Nonfiction (2009)'],168304,"['84420', '57427', '19830', '4400', '2227']",96,"['Mexico', 'Colorado (United States)']",2010,Christopher McDougall,7586,29.99,,,,,,,
Brief Answers to the Big Questions,Missing,4.3,English,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Audiobook', 'Popular Science', 'Astronomy', 'Space', 'Adult', 'Essays']",Paperback,330,Random House Large Print Publishing,10/16/2018,['Goodreads Choice Award Nominee for Science & Technology (2018)'],34302,"['16392', '12967', '4046', '647', '250']",97,Missing,Missing,Stephen Hawking,Missing,Missing,,,,,,,
