title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
Conversations with Friends,Missing,3.81,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Ireland', 'Novels', 'Irish Literature', 'Romance', 'Audiobook', 'LGBT', 'Adult']",Kindle Edition,304,Hogarth,7/11/2017,"['Dylan Thomas Prize Nominee for Shortlist (2018)', 'Desmond Elliott Prize Nominee for Longlist (2018)', 'Europese Literatuurprijs Nominee (2018)', 'International Dublin Literary Award Nominee for Shortlist (2019)', 'Rathbones Folio Prize Nominee (2018)']",127092,"['33859', '49034', '32535', '9410', '2254']",91,Missing,Missing,Sally Rooney,Missing,Missing,,,,,,,
Coraline,Missing,4.06,English,"['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Audiobook', 'Paranormal', 'Adventure', 'Supernatural']",Paperback,162,William Morrow Paperbacks,8/29/2006,"['Bram Stoker Award for Best Work for Young Readers (2002)', 'Hugo Award for Best Novella (2003)', 'Nebula Award for Best Novella (2003)', 'Locus Award for Best Young Adult Novel (2003)', 'World Fantasy Award Nominee for Best Novella (2003)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (2003)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2004)"", 'Child Magazine Best Book of the Year', 'Will Eisner Comic Industry Awards for Best Publication for Teens/Tweens (2009)', 'Elizabeth Burr / Worzalla Award (2003)', 'Premi Protagonista Jove Nominee for Categoria 13-14 anys (2004)']",481547,"['190269', '173080', '87552', '20055', '10591']",94,['England'],Missing,Neil Gaiman,Missing,Missing,,,,,,,
Crazy Love: Overwhelmed by a Relentless God,Missing,4.15,English,"['Christian', 'Nonfiction', 'Christianity', 'Christian Living', 'Faith', 'Religion', 'Theology', 'Spirituality', 'Christian Non Fiction', 'Inspirational']",Paperback,187,David C. Cook,5/1/2008,0,149789,"['72214', '43810', '22539', '6890', '4336']",93,Missing,2010,Francis Chan,1664,14.98,,,,,,,
Crime and Punishment,Missing,4.22,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",Paperback,671,Penguin,12/31/2002,0,626897,"['315090', '188181', '84074', '26493', '13059']",94,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia (Russian Federation)']",Missing,Fyodor Dostoyevsky,Missing,Missing,,,,,,,
Cutting for Stone,Missing,4.29,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",Hardcover,541,Alfred A. Knopf,2/3/2009,"['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",336889,"['175794', '106563', '38090', '10912', '5530']",95,"['Addis Ababa (Ethiopia)', 'Madras (India)', 'Kochi (India)', 'Aden (Yemen)', 'Djibouti', 'Asmara (Eritrea)', 'Khartoum (Sudan)', 'Nairobi (Kenya)', 'New York City, New York (United States)', 'Boston, Massachusetts (United States)', 'Rome (Italy)']",2010,Abraham Verghese,5286,7.59,,,,,,,
Dare to Lead,Missing,4.15,English,"['Nonfiction', 'Leadership', 'Business', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Management', 'Education', 'Adult']",ebook,332,Ebury Digital,10/11/2018,0,43079,"['19337', '14603', '6360', '1819', '960']",94,Missing,Missing,Brene Brown,Missing,Missing,,,,,,,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Missing,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting', 'Business', 'Spirituality', 'Relationships']",Hardcover,287,Avery,9/11/2012,0,129648,"['65196', '41857', '16176', '4238', '2181']",95,Missing,2013,Brené Brown,1639,5.48,,,,,,,
Dark Emu,Missing,4.4,English,"['Nonfiction', 'History', 'Australia', 'Historical', 'Science', 'Anthropology', 'Audiobook', 'Environment', 'Politics', 'Book Club']",Paperback,176,Magabala Books,2014,"[""Victorian Premier's Literary Award Nominee for Indigenous Writing (2014)""]",7678,"['4227', '2538', '735', '120', '58']",98,Missing,Missing,Bruce Pascoe,Missing,Missing,,,,,,,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Missing,3.95,English,"['Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Self Help', 'Sociology', 'Science', 'History', 'Leadership', 'Personal Development']",Hardcover,305,"Little, Brown and Company",10/1/2013,"['Audie Award for Nonfiction (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2013)']",147875,"['46186', '59744', '32938', '6711', '2296']",94,Missing,2013,Malcolm Gladwell,5371,19.19,,,,,,,
Dead Wake: The Last Crossing of the Lusitania,Missing,4.09,English,"['Nonfiction', 'History', 'Audiobook', 'Historical', 'War', 'World War I', 'American History', 'Adult', 'Book Club', 'British Literature']",Hardcover,430,Crown Publishers,3/3/2015,"['Washington State Book Award for Nonfiction (2016)', 'Goodreads Choice Award for History & Biography (2015)']",109595,"['38605', '48364', '17812', '3185', '1629']",96,['Lusitania'],2015,Erik Larson,8113,26.8,,,,,,,
Decision Points,Missing,3.79,English,"['Biography', 'Nonfiction', 'Politics', 'History', 'Memoir', 'Presidents', 'Autobiography', 'American History', 'Biography Memoir', 'Leadership']",Hardcover,497,Crown,11/9/2010,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],36679,"['9728', '14700', '8676', '2147', '1428']",90,Missing,2010,George W. Bush,2201,17.8,,,,,,,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Missing,4.01,English,"['Business', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Biography', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Audiobook']",Hardcover,246,Grand Central Publishing,6/7/2010,['Goodreads Choice Award Nominee for Nonfiction (2010)'],61870,"['25394', '20077', '10437', '3282', '2680']",90,Missing,2010,Tony Hsieh,2009,23.51,,,,,,,
Divergent,Divergent #1,4.19,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Paperback,487,Katherine Tegen Books,2/28/2012,"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)', 'Milwaukee County Teen Book Award Nominee (2012)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'Sakura Medal', 'New Mexico Land of Enchantment Award for Young Adult (2014)', 'Eliot Rosewater Indiana High School Book Award (2014)', 'California Young Readers Medal for Young Adult (2014)', 'Lincoln Award Nominee (2014)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2012)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011)', 'Green Mountain Book Award (2013)', 'The Magnolia Award for 6-8 (2014)', ""Louisiana Teen Readers' Choice (2014)"", 'Missouri Gateway Readers Award (2014)', 'Oklahoma Sequoyah Award for High Schol (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)']",2906258,"['1409189', '882493', '434381', '123286', '56909']",94,"['Chicago, Illinois (United States)']",2013,Veronica Roth,28544,13.53,,,,,,,
Don't Let the Pigeon Drive the Bus!,Pigeon,4.3,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Animals', 'Storytime', 'Fantasy', 'Birds', 'Transport', 'Kids']",Hardcover,40,Walker Books Ltd,7/5/2004,"['Caldecott Medal Nominee (2004)', 'Kentucky Bluegrass Award for K-2 (2005)', 'Charlotte Zolotow Award Nominee (2004)', ""Vermont's Picture Book Awards: Red Clover (2005)"", 'South Carolina Book Award for Picture Book Award (2006)', ""Flicker Tale Children's Book Award (2005)"", 'Golden Archer Award for Primary (2005)', 'Buckaroo Book Award (2004)', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)', 'CLEL Silver Bell Award Nominee for Talk (2013)']",80064,"['45941', '19006', '10203', '3222', '1692']",94,Missing,Missing,Mo Willems,Missing,Missing,,,,,,,
Down and Out in Paris and London,Missing,4.1,English,"['Nonfiction', 'Classics', 'Biography', 'Memoir', 'Travel', 'Literature', 'History', 'France', 'British Literature', 'Autobiography']",Paperback,213,Mariner Books,3/15/1972,0,61959,"['22241', '26610', '10658', '1914', '536']",96,"['London, England', 'Paris (France)']",Missing,George Orwell,Missing,Missing,,,,,,,
Dr. Seuss's ABC,Missing,4.09,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Kids', 'Fantasy', 'Humor', 'Juvenile', 'Animals']",Board Book,21,Random House,11/26/1996,0,42081,"['19737', '10563', '8424', '2414', '943']",92,Missing,Missing,Dr. Seuss,Missing,Missing,,,,,,,
Drive: The Surprising Truth About What Motivates Us,Missing,3.95,English,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Education', 'Productivity', 'Science']",Hardcover,242,Riverhead Books,12/29/2009,0,94384,"['31763', '36052', '19115', '4849', '2605']",92,Missing,2010,Daniel H. Pink,3260,2.06,,,,,,,
Each Peach Pear Plum,Missing,4.22,English,"['Picture Books', 'Childrens', 'Poetry', 'Fiction', 'Nursery Rhymes', 'Fairy Tales', 'Classics', 'Storytime', 'Juvenile', 'Fantasy']",Board book,34,Puffin Books,9/1/1999,['Kate Greenaway Medal (1978)'],16552,"['8448', '4527', '2664', '646', '267']",94,Missing,Missing,Janet Ahlberg,Missing,Missing,,,,,,,
East,East #1,4.14,English,"['Fantasy', 'Young Adult', 'Fairy Tales', 'Romance', 'Retellings', 'Fiction', 'Adventure', 'Magic', 'Middle Grade', 'Young Adult Fantasy']",Paperback,507,HMH Books for Young Readers,5/1/2005,"['Michigan Library Association Thumbs Up! Award Nominee (2004)', ""Rebecca Caudill Young Readers' Book Award Nominee (2008)""]",39501,"['17470', '12953', '6923', '1608', '547']",95,"['Andalsnes (Norway)', 'La Rochelle (France)']",Missing,Meera Sodha,Missing,Missing,,,,,,,
Educated,Missing,4.47,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult', 'Education', 'Religion']",Hardcover,334,Random House,2/20/2018,"['Audie Award for Best Female Narrator (2019)', 'Los Angeles Times Book Prize Nominee for Biography (2018)', 'ALA Alex Award (2019)', 'Wellcome Book Prize Nominee for Longlist (2019)', 'National Book Critics Circle Award Nominee for Autobiography (2018)', 'Goodreads Choice Award for Memoir & Autobiography (2018)', 'PEN/Jean Stein Book Award Nominee for Shortlist (2019)', 'Reading Women Award for Nonfiction (2018)']",796019,"['477689', '236894', '62027', '12742', '6667']",98,"['Idaho Mountains (United States)', 'Idaho (United States)', 'Arizona (United States)', 'Rome (Italy)', 'Paris (France)', 'Palmyra, New York (United States)', 'Boston, Massachusetts (United States)', 'Harvard University, Cambridge, Massachusetts (United States)', 'Cambridge, England (United Kingdom)']",Missing,Tara Westover,Missing,Missing,,,,,,,
Emotional Intelligence 2.0,Missing,3.84,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Personal Development', 'Management', 'Buisness', 'Relationships', 'Science']",Hardcover,255,Talentsmart,6/16/2009,['IBPA Benjamin Franklin Awards for Career (2010)'],71117,"['23606', '22910', '17074', '4950', '2577']",89,Missing,2011,Travis Bradberry,5981,13.67,,,,,,,
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Missing,4.49,English,"['Nonfiction', 'Christian', 'Faith', 'Self Help', 'Religion', 'Christian Living', 'Spirituality', 'Audiobook', 'Christianity', 'Inspirational']",Paperback,240,Thomas Nelson,4/17/2018,0,22787,"['14695', '5502', '1905', '500', '185']",97,Missing,2018,Bob Goff,4195,11.89,,,,,,,
Everything I Know About Love,Missing,4.19,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Feminism', 'Romance', 'Autobiography', 'Contemporary', 'Essays', 'Biography Memoir']",Hardcover,368,Harper,2/25/2020,0,46141,"['21903', '14705', '6817', '1934', '782']",94,Missing,Missing,Dolly Alderton,Missing,Missing,,,,,,,
Everything I Never Told You,Missing,3.86,English,"['Fiction', 'Contemporary', 'Mystery', 'Historical Fiction', 'Audiobook', 'Adult', 'Literary Fiction', 'Adult Fiction', 'Family', 'Book Club']",Hardcover,292,Penguin Press,6/26/2014,"['CWA New Blood Dagger Nominee (2015)', 'ALA Alex Award (2015)', 'Prix Relay des Voyageurs Nominee (2016)', 'Goodreads Choice Award Nominee for Debut Goodreads Author (2014)', 'Asian/Pacific American Award for Literature for Adult Fiction (2014)']",338874,"['87049', '144847', '84391', '17686', '4901']",93,['Ohio (United States)'],Missing,Celeste Ng,Missing,Missing,,,,,,,
"Everything, Everything",Missing,4.05,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult Contemporary', 'Teen', 'Coming Of Age', 'Young Adult Romance']",Hardcover,306,Delacorte Books for Young Readers,9/1/2015,"['South Carolina Book Award for Young Adult (2018)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award (2017)', 'Evergreen Teen Book Award (2018)', 'Soaring Eagle Book Award (2016)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2016)', 'Eliot Rosewater Indiana High School Book Award (2018)', 'Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)']",378851,"['151068', '130610', '70470', '19628', '7075']",93,"['Los Angeles, California (United States)', 'Maui, Hawaii (United States)']",2017,Nicola Yoon,4412,0.94,,,,,,,
Fahrenheit 451,Missing,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Kindle Edition,194,Simon & Schuster,11/29/2011,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",1680139,"['612098', '604888', '331815', '91160', '40178']",92,Missing,2014,Ray Bradbury,15019,1.26,,,,,,,
Fantastic Beasts and Where to Find Them,Hogwarts Library,3.98,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Short Stories', 'Science Fiction Fantasy', 'Dragons']",Hardcover,128,Arthur A. Levine Books,6/1/2001,0,330094,"['127539', '100157', '77221', '19657', '5520']",92,Missing,Missing,J. K. Rowling,Missing,Missing,,,,,,,
Fifty Shades Darker,Fifty Shades #2,3.84,English,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotic Romance', 'Adult Fiction']",Paperback,532,The Writer's Coffee Shop Publishing House,9/16/2011,0,745051,"['307884', '178317', '139476', '71981', '47393']",84,"['Seattle, Washington (United States)']",2012,E L James,26461,0.32,,,,,,,
Find Me,Call Me By Your Name #2,3.32,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Gay', 'Audiobook', 'Adult', 'Literary Fiction', 'Novels']",Hardcover,260,"Farrar, Straus and Giroux",10/29/2019,['Goodreads Choice Award Nominee for Fiction (2019)'],27452,"['4699', '7571', '8742', '4670', '1770']",77,Missing,Missing,Andre Aciman,Missing,Missing,,,,,,,
Fire and Fury: Inside the Trump White House,Missing,3.44,English,"['Nonfiction', 'Politics', 'History', 'Audiobook', 'Biography', 'American History', 'Unfinished', 'Presidents', 'Journalism', 'American']",Hardcover,322,Henry Holt and Co.,1/5/2018,0,71315,"['11596', '22558', '25694', '8399', '3068']",84,"['White House, Washington, D.C. (United States)']",2018,Michael Wolff,14617,11.1,,,,,,,
Flow,Missing,4.13,English,"['Self Help', 'Psychology', 'Personal Development', 'Nonfiction', 'Productivity']",Missing,303,Missing,Missing,0,200,"['82', '71', '40', '5', '2']",97,Missing,Missing,Mihaly Csikszentmihalyi,Missing,Missing,,,,,,,
Freedom,Missing,3.76,English,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'American', 'Adult Fiction', 'Family', 'Audiobook', 'Book Club']",Hardcover,562,"Farrar, Straus and Giroux",8/31/2010,"['Warwick Prize for Writing Nominee for Longlist (2013)', 'Los Angeles Times Book Prize Nominee for Fiction (2010)', 'Chicago Tribune Heartland Prize for Fiction (2011)', 'National Book Critics Circle Award Nominee for Fiction (2010)', 'Bad Sex in Fiction Award Nominee (2010)', 'John Gardner Book Award for Fiction (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Fiction (2010)']",150235,"['42269', '55185', '33341', '12890', '6550']",87,Missing,2010,Jonathan Franzen,1969,10.08,,,,,,,
Friend Request,Missing,3.79,English,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Contemporary', 'Psychological Thriller', 'Adult', 'Audiobook']",Kindle Edition,385,Grand Central Publishing,9/5/2017,0,38253,"['9864', '14900', '10025', '2543', '921']",91,Missing,Missing,Laura Marshall,Missing,Missing,,,,,,,
"Full Dark, No Stars",Missing,4.06,English,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Audiobook', 'Anthologies', 'Fantasy', 'Crime']",Hardcover,368,Scribner,Nov-10,"['Bram Stoker Award for Best Fiction Collection (2010)', 'British Fantasy Award for Best Collection (2011)', 'Goodreads Choice Award Nominee for Mystery & Thriller (2010)']",92250,"['32610', '38083', '17346', '3160', '1051']",95,['United States of America'],2010,Stephen King,2423,1.33,,,,,,,
Gangsta Granny,Missing,4.29,English,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Adventure', 'Novels', 'Family', 'Comedy', 'Young Adult', 'Audiobook']",Hardcover,299,HarperCollins Children's books,2011,0,15280,"['7937', '4709', '1990', '462', '182']",96,Missing,Missing,David Walliams,Missing,Missing,,,,,,,
Getting Things Done: The Art of Stress-Free Productivity,Missing,3.99,English,"['Nonfiction', 'Business', 'Productivity', 'Self Help', 'Personal Development', 'Management', 'Leadership', 'Psychology', 'Reference', 'Audiobook']",Paperback,267,Penguin Group,12/31/2002,0,128554,"['49329', '43403', '24569', '7227', '4026']",91,Missing,2011,David Allen,3585,0.35,,,,,,,
"Girl, Woman, Other",Missing,4.42,English,"['Fiction', 'Feminism', 'Contemporary', 'Short Stories', 'Literary Fiction', 'LGBT', 'Race', 'Audiobook', 'Queer', 'Novels']",Hardcover,453,Hamish Hamilton,5/2/2019,"['Booker Prize (2019)', 'Orwell Prize Nominee for Political Fiction for Shortlist (2020)', ""Women's Prize for Fiction Nominee for Shortlist (2020)"", 'Goodreads Choice Award Nominee for Fiction (2019)']",78141,"['44433', '24900', '6898', '1377', '533']",98,Missing,Missing,Bernardine Evaristo,Missing,Missing,,,,,,,
"Gmorning, Gnight!: Little Pep Talks for Me & You",Missing,4.33,English,"['Poetry', 'Nonfiction', 'Self Help', 'Audiobook', 'Adult', 'Inspirational', 'Humor', 'Contemporary', 'Mental Health', 'Graphic Novels']",Capa dura,207,Headline,10/16/2018,0,17408,"['9731', '4882', '1930', '517', '348']",95,Missing,2018,Lin-Manuel Miranda,2930,1.77,,,,,,,
Go the F**k to Sleep,Missing,4.27,English,"['Humor', 'Fiction', 'Picture Books', 'Childrens', 'Comedy', 'Audiobook', 'Parenting', 'Poetry', 'Adult', 'Short Stories']",Kindle Edition,17,Akashic Books,12/6/2011,['Goodreads Choice Award Nominee for Humor (2011)'],84314,"['45520', '22520', '11530', '2977', '1767']",94,Missing,2011,Adam Mansbach,12832,12.58,,,,,,,
Gone Girl,Missing,4.08,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']",Paperback,415,Broadway Books,4/22/2014,"['Barry Award Nominee for Best Novel (2013)', 'Anthony Award Nominee for Best Novel (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012)"", 'Shirley Jackson Award Nominee for Novel (Finalist) (2012)', 'Edgar Award Nominee for Best Novel (2013)', 'Puddly Award for Fiction (2013)', ""Women's Prize for Fiction Nominee for Longlist (2013)"", 'Grand Prix des lectrices de Elle for roman policier (2013)', 'Goodreads Choice Award for Mystery & Thriller and Nominee for Goodreads Author (2012) and Nominee for Best of the Best  (2018)']",2329146,"['946037', '842507', '371665', '107375', '61562']",93,"['North Carthage, Missouri (United States)', 'Missouri (United States)']",2012,Gillian Flynn,59506,18.48,,,,,,,
Goodnight Moon,Over the Moon #2,4.28,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",Hardcover,32,HarperCollins,1/23/2007,0,305442,"['173548', '69785', '43078', '12325', '6706']",94,Missing,2014,Margaret Wise Brown,13055,0.25,,,,,,,
Grandpa's Great Escape,Missing,4.34,English,"['Childrens', 'Fiction', 'Middle Grade', 'Adventure', 'Humor', 'Historical Fiction', 'Audiobook', 'Family', 'War', 'Contemporary']",Hardcover,462,HarperCollins Children’s Books,9/24/2015,['Australian Book Industry Award (ABIA) Nominee for International Book (2016)'],6520,"['3651', '1780', '811', '179', '99']",96,Missing,Missing,David Walliams,Missing,Missing,,,,,,,
Guess How Much I Love You,Little Nutbrown Hare,4.37,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Classics', 'Love', 'Kids', 'Storytime', 'Rabbits']",Board book,20,Candlewick,1/27/2005,"['Zilveren Griffel (1995)', 'American Booksellers Book Of The Year  Award for Children (1996)']",126119,"['75058', '29625', '15798', '3828', '1810']",96,Missing,2015,Sam McBratney,4219,8.15,,,,,,,
Guinness World Records 2012,Guinness World Records,4.18,English,"['Nonfiction', 'Reference', 'History', 'Trivia', 'School']",Hardcover,288,Guinness World Records,9/13/2011,0,822,"['415', '219', '129', '43', '16']",93,Missing,2011,Guinness World Records,395,1.5,,,,,,,
Guts,Missing,3.86,English,"['Short Stories', 'Fiction', 'Horror', 'Contemporary', 'Humor', 'Thriller', 'American', 'Dark', 'Adult', 'Literature']",Missing,16,Missing,Missing,0,13624,"['4858', '4255', '2881', '1040', '590']",88,Missing,2019,Raina Telgemeier,7864,7.01,,,,,,,
Hamilton: The Revolution,Missing,4.46,English,"['Nonfiction', 'History', 'Plays', 'Audiobook', 'Music', 'Historical', 'Theatre', 'Biography', 'Adult', 'Drama']",Hardcover,285,Grand Central Publishing,4/12/2016,"['Audie Award for Audiobook of the Year (2017)', 'Goodreads Choice Award for Nonfiction (2016)']",44845,"['28529', '10961', '3530', '915', '910']",96,Missing,2016,Lin-Manuel Miranda,8327,23.69,,,,,,,
Harry Potter and the Chamber of Secrets,Harry Potter #2,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Hardcover,341,Arthur A. Levine Books / Scholastic Inc.,6/2/1999,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', 'Golden Archer Award for Middle/Junior High (2008)', 'Nestlé Smarties Book Prize for 9–11 years (1998)']",2725847,"['1608855', '748165', '302543', '52312', '13972']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",Missing,J. K. Rowling,Missing,Missing,,,,,,,
Harry Potter and the Deathly Hallows,Harry Potter #7,4.62,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Hardcover,759,Arthur A. Levine Books / Scholastic Inc.,7/21/2007,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']",2811637,"['2038930', '552014', '161906', '35042', '23745']",98,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Pagford (United Kingdom)']",Missing,J. K. Rowling,Missing,Missing,,,,,,,
Harry Potter and the Goblet of Fire,Harry Potter #4,4.56,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,734,Scholastic,9/28/2002,"['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", 'Golden Archer Award for Middle/Junior High (2002)', 'Indian Paintbrush Book Award (2002)', 'Deutscher Bücherpreis for Publikumspreis', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']",2594622,"['1729403', '640440', '187274', '26301', '11204']",99,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",Missing,J.K. Rowling,Missing,Missing,,,,,,,
Harry Potter and the Half-Blood Prince,Harry Potter #6,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,652,Scholastic Inc.,9/16/2006,"['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']",2437658,"['1646703', '584575', '167461', '27277', '11642']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'England']",Missing,J. K. Rowling,Missing,Missing,,,,,,,
Harry Potter and the Order of the Phoenix,Harry Potter #5,4.5,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,870,Scholastic Inc.,9/28/2004,"['Bram Stoker Award for Works for Young Readers (2003)', 'Anthony Award for Young Adult (2004)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Audie Award for Audiobook of the Year (2004)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)', 'Colorado Blue Spruce Young Adult Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2005)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004)', 'Carnegie Medal Nominee (2003)']",2507623,"['1593642', '637516', '222366', '39573', '14526']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",Missing,J. K. Rowling,Missing,Missing,,,,,,,
