title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,,4.3,English,"['Politics', 'Nonfiction', 'History', 'Audiobook', 'Political Science', 'American History', 'American', 'Social Science', 'Economics', 'Adult']",Audio CD,7,Simon & Schuster Audio,October 2nd 2018,[],4439,"['2355', '1368', '499', '123', '94']",95.0,[],2018.0,Tucker Carlson,4940.0,16.9
Six of Crows,The Six of Crows Trilogy #1,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic', 'Romance', 'LGBT', 'High Fantasy', 'Audiobook']",Hardcover,465,Henry Holt and Company,09/29/15,"[""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award Nominee (2018)', 'Evergreen Teen Book Award Nominee (2018)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Lincoln Award (2018)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2016)', 'Hea Noorteraamat (2017)']",315707,"['187881', '90755', '26115', '6821', '4135']",97.0,['Ketterdam'],,Leigh Bardugo,,
Snow Falling,,3.37,,"['Romance', 'Historical Fiction', 'Fiction', 'Adult', 'Historical', 'Chick Lit', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Tv']",Paperback,240,Adams Media,November 14th 2017,[],2279,"['466', '549', '757', '378', '129']",78.0,[],,Jane Gloriana Villanueva,,
Sophie's World,,3.93,English,"['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature', 'Contemporary', 'Unfinished', 'Scandinavian Literature']",Paperback,403,Phoenix,10/28/95,"['Buxtehuder Bulle (1996)', 'Premio Bancarella (1995)', 'Deutscher Jugendliteraturpreis for Jugendbuch (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1996)', 'دار المنى', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (1997)', 'Premio San Clemente for Novela Estranxeira (1996)', ""Prime Minister of Pakistan's Award for Literature""]",200234,"['69611', '70306', '42251', '12751', '5315']",91.0,[],,Jostein Gaarder,,
Spoken from the Heart,,3.99,,"['Nonfiction', 'Memoir', 'Politics', 'Biography', 'Presidents', 'History', 'Biography Memoir', 'Autobiography', 'Contemporary', 'Adult']",Hardcover,464,Simon & Schuster Adult Publishing Group,May 4th 2010,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],7317,"['2459', '2832', '1600', '323', '103']",94.0,[],2010.0,Laura Bush,563.0,14.0
Start with Why: How Great Leaders Inspire Everyone to Take Action,,4.08,English,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology', 'Audiobook', 'Entrepreneurship', 'Buisness']",Hardcover,256,Portfolio,October 29th 2009,[],121834,"['53330', '38633', '20037', '6360', '3474']",92.0,[],2017.0,Simon Sinek,11995.0,3.6
State of Wonder,,3.88,English,"['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction', 'Adult Fiction', 'Adult', 'Mystery', 'Novels', 'Audiobook', 'Adventure']",Hardcover,353,HarperCollins Publishers,June 7th 2011,"['Orange Prize Nominee for Fiction Shortlist (2012)', 'Audie Award for Literary Fiction (2012)', 'Wellcome Book Prize Nominee for Shortlist (2011)', 'Goodreads Choice Award Nominee for Fiction and for Favorite Book (2011)']",164487,"['45221', '68455', '38699', '9518', '2594']",93.0,"['Amazon Rainforest', 'Minneapolis-St. Paul, Minnesota (United States)']",2011.0,Ann Patchett,2574.0,25.98
Sweet,Sweet #1,3.62,English,"['Young Adult', 'Science Fiction', 'Thriller', 'Fiction', 'Survival', 'Romance', 'Suspense', 'Teen', 'Adventure', 'Zombies']",Hardcover,272,Feiwel & Friends,June 2nd 2015,[],2871,"['714', '914', '802', '325', '116']",85.0,[],,Yotam Ottolenghi,,
Switch: How to Change Things When Change Is Hard,,4.04,English,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Leadership', 'Personal Development', 'Management', 'Productivity', 'Education', 'Audiobook']",Hardcover,305,Currency,February 16th 2010,[],42766,"['16036', '16190', '7671', '1878', '991']",93.0,[],2010.0,Chip Heath,2383.0,14.49
The 13-Storey Treehouse,Treehouse #1,4.05,English,"['Humor', 'Childrens', 'Middle Grade', 'Fiction', 'Fantasy', 'Graphic Novels', 'Adventure', 'Chapter Books', 'Juvenile', 'Comics']",Paperback,256,Pan Macmillan Australia,September 1st 2011,"[""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2012)"", 'Australian Book Industry Award (ABIA) for Older Children (ages 8-14) (2012)', 'Bluestem Book Award (2016)']",8424,"['3710', '2408', '1557', '526', '223']",91.0,[],,Andy Griffiths,,
The 26-Storey Treehouse,Treehouse #2,4.3,English,"['Humor', 'Middle Grade', 'Childrens', 'Fiction', 'Adventure', 'Fantasy', 'Chapter Books', 'Juvenile', 'Graphic Novels', 'Comics']",Paperback,348,Pan Macmillan Australia,September 3rd 2012,['Australian Book Industry Award (ABIA) for Older Children (ages 8-14) (2013)'],4890,"['2629', '1379', '673', '148', '61']",96.0,[],,Andy Griffiths,,
The 39-Storey Treehouse,Treehouse #3,4.3,English,"['Fiction', 'Childrens', 'Fantasy', 'Humor', 'Middle Grade', 'Adventure', 'Graphic Novels', 'Chapter Books', 'Young Adult', 'Comedy']",Paperback,352,Pan MacMillan Australia,September 1st 2013,['Australian Book Industry Award (ABIA) for Younger Children (ages 0-8) (2014)'],3805,"['2048', '1068', '518', '122', '49']",96.0,[],,Andy Griffiths,,
The 5 Love Languages: The Secret to Love that Lasts,5 Love Languages,4.25,English,"['Nonfiction', 'Self Help', 'Relationships', 'Psychology', 'Marriage', 'Christian', 'Personal Development', 'Audiobook', 'Love', 'Christianity']",Kindle Edition,209,Northfield Publishing,December 11th 2014,['Audie Award for Personal Development/Motivational (2006)'],297637,"['148253', '93589', '41488', '9671', '4636']",95.0,[],2017.0,Gary Chapman,37833.0,1.5
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.12,English,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']",Paperback,372,Free Press,11/09/04,[],524128,"['236705', '164544', '85282', '24020', '13577']",93.0,[],2011.0,Stephen R. Covey,10715.0,33.77
The Alchemist,,3.57,English,"['Plays', 'Drama', 'Classics', 'Fiction', '17th Century', 'School', 'Theatre', 'Literature', 'Comedy', 'British Literature']",Paperback,256,Book Jungle,February 8th 2007,[],2966,"['656', '938', '928', '331', '113']",85.0,[],2012.0,Paulo Coelho,42046.0,37.9
The Art of War,,3.97,English,"['Nonfiction', 'Classics', 'Philosophy', 'History', 'War', 'Business', 'Politics', 'Military Fiction', 'China', 'Leadership']",Paperback,273,Shambhala,01/11/05,[],329815,"['117995', '112786', '75545', '18186', '5303']",93.0,[],,Sun Tzu,,
The Best of Me,,3.94,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love']",Hardcover,292,Grand Central Publishing,October 11th 2011,[],144478,"['52184', '47027', '32392', '9975', '2900']",91.0,"['Oriental, North Carolina (United States)', 'Oriental, North Carolina (United States)']",2011.0,Nicholas Sparks,6112.0,20.46
The Big Short: Inside the Doomsday Machine,Liar's Poker #2,4.29,,"['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook', 'Money', 'Journalism', 'Contemporary']",Paperback,320,W. W. Norton Company,November 16th 2015,"['Los Angeles Times Book Prize for Current Interest (2010)', 'Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2010)', 'Robert F. Kennedy Book Award (2011)', 'Goodreads Choice Award Nominee for Nonfiction (2010)']",132918,"['63648', '49951', '15062', '2844', '1413']",97.0,[],2011.0,Michael Lewis,3943.0,1.9
The Body,,4.26,English,"['Horror', 'Fiction', 'Short Stories', 'Coming Of Age', 'Audiobook', 'Thriller', 'Young Adult', 'Mystery', 'Novella', 'Classics']",Paperback,80,Penguin Books,December 20th 1999,[],36450,"['17236', '12754', '5342', '918', '200']",97.0,"['Castle Rock, Maine (United States)']",,Bill Bryson,,
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",,4.47,English,"['Psychology', 'Nonfiction', 'Self Help', 'Mental Health', 'Health', 'Science', 'Social Work', 'Counselling', 'Audiobook', 'Medicine']",Hardcover,443,Viking,September 25th 2014,[],38770,"['24561', '9957', '2802', '829', '621']",96.0,[],2018.0,Bessel van der Kolk M.D.,19875.0,12.71
The Book Thief,,4.37,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",Hardcover,552,Alfred A. Knopf,03/14/06,"['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'The Quill Award Nominee for Young Adult/Teen (2006)', 'Zilveren Zoen (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', 'Association of Jewish Libraries for Teen Book Award (2006)', 'Lincoln Award Nominee (2010)', 'Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008)', 'Kathleen Mitchell Award', 'Ena Noel Award (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', 'LovelyBooks Leserpreis for Allgemeine Literatur (2009)', 'Margaret A. Edwards Award (2014)']",1834276,"['1048230', '524674', '186297', '48864', '26211']",96.0,"['Molching (Germany)', 'Germany']",2014.0,Markus Zusak,25974.0,0.35
The Book with No Pictures,,4.35,English,"['Picture Books', 'Childrens', 'Humor', 'Storytime', 'Fiction', 'Juvenile', 'Kids', 'Audiobook', 'Comedy', '2nd Grade']",Hardcover,48,Dial Books,September 30th 2014,"['California Young Readers Medal for Primary (2018)', 'Vlag en Wimpel Griffeljury (2016)', 'Goodreads Choice Award Nominee for Picture Books (2014)', 'The Magnolia Award for K-2 (2017)', 'CLEL Bell Picture Book Awards Nominee for Read (2015)']",22201,"['12972', '5766', '2264', '701', '498']",95.0,[],2014.0,B. J. Novak,10378.0,1.05
"The Boy, the Mole, the Fox and the Horse",,4.6,English,"['Fiction', 'Graphic Novels', 'Childrens', 'Art', 'Picture Books', 'Poetry', 'Philosophy', 'Animals', 'Self Help', 'Inspirational']",Hardcover,128,Ebury Press,October 10th 2019,[],33404,"['24526', '5883', '2014', '634', '347']",97.0,[],2020.0,Charlie Mackesy,37452.0,13.49
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in The Boat,4.35,English,"['Nonfiction', 'History', 'Sports', 'Biography', 'Historical', 'Audiobook', 'Book Club', 'World War II', 'American History', 'Memoir']",Hardcover,404,Viking,June 4th 2013,"['James Tait Black Memorial Prize Nominee for Biography (2013)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Keystone to Reading Book Award Nominee for Middle School (2017)', 'William Saroyan International Prize for Writing Nominee for Nonfiction (2014)', 'Washington State Book Award for History/General Nonfiction (2014)', 'Andrew Carnegie Medal Nominee for Nonfiction (2014)', 'Goodreads Choice Award Nominee for History & Biography (2013)', 'Green Mountain Book Award Nominee (2016)']",222502,"['123705', '66345', '22645', '6013', '3794']",96.0,['Berlin (Germany)'],2014.0,Daniel James Brown,6742.0,10.94
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",,4.14,English,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Presidents', 'Audiobook', 'Biography Memoir', 'Journalism', 'Historical']",Hardcover,910,Simon & Schuster,November 5th 2013,"['Audie Award for History/Biography (2015)', 'Andrew Carnegie Medal for Nonfiction (2014)']",18145,"['7682', '6943', '2441', '626', '453']",94.0,[],2013.0,Doris Kearns Goodwin,2291.0,34.7
The Butterfly Lion,,4.09,English,"['Childrens', 'Fiction', 'Animals', 'Novels', 'Historical Fiction', 'Africa', 'School', 'Middle Grade', 'Adventure', 'Historical']",Paperback,112,Collins,May 7th 1996,['Nestlé Smarties Book Prize for 6–8 years (1996)'],9097,"['3687', '3094', '1849', '369', '98']",95.0,['South Africa'],,Michael Morpurgo,,
The Casual Vacancy,,3.3,English,"['Fiction', 'Contemporary', 'Mystery', 'Adult', 'Adult Fiction', 'Drama', 'Unfinished', 'British Literature', 'Novels', 'Audiobook']",Hardcover,503,"Little, Brown and Company",September 27th 2012,['Goodreads Choice Award for Fiction (2012)'],302889,"['50685', '90207', '89332', '44776', '27889']",76.0,['Pagford (United Kingdom)'],2012.0,J.K. Rowling,9729.0,16.95
The Catcher in the Rye,,3.81,English,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",Paperback,277,Back Bay Books,01/30/01,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']",2736523,"['937208', '846027', '579292', '234980', '139016']",86.0,"['New York City, New York (United States)', 'Agerstown, Pennsylvania (United States)']",2010.0,J. D. Salinger,14641.0,6.82
The Checklist Manifesto: How to Get Things Right,,4.05,,"['Nonfiction', 'Business', 'Medicine', 'Self Help', 'Productivity', 'Medical', 'Science', 'Psychology', 'Personal Development', 'Management']",Kindle Edition,225,,December 15th 2009,[],48512,"['17241', '19430', '9396', '1917', '528']",95.0,[],2010.0,Atul Gawande,3812.0,23.8
The Choice,Daughters of the Moon #9,4.01,English,"['Young Adult', 'Fantasy', 'Mythology', 'Paranormal', 'Supernatural', 'Urban Fantasy', 'Teen', 'Fiction', 'Magic', 'Romance']",Hardcover,288,Volo,April 14th 2003,[],4195,"['1617', '1292', '1041', '206', '39']",94.0,"['Los Angeles, California (United States)']",,Edith Eger,,
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,,3.62,,"['Cookbooks', 'Nonfiction', 'Health', 'Cooking', 'Reference', 'Food', 'Self Help', 'Diets', 'Nutrition', 'Fitness']",Paperback,158,Rockridge Press,December 20th 2016,[],6159,"['1822', '1832', '1343', '651', '511']",81.0,[],2017.0,Amy Ramos,18251.0,6.99
The Day the Crayons Came Home,Crayons,4.39,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'Adventure', 'Kids', 'School']",Hardcover,48,Philomel Books,August 18th 2015,['Goodreads Choice Award for Picture Books (2015)'],13486,"['7738', '3935', '1340', '299', '174']",96.0,[],2015.0,Drew Daywalt,3189.0,12.02
The Day the Crayons Quit,Crayons,4.42,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'School', 'Kids', 'Juvenile']",Hardcover,30,Philomel Books,June 27th 2013,"[""Vermont's Picture Book Awards: Red Clover (2015)"", 'Texas Bluebonnet Award (2015)', 'Zilveren Griffel (2015)', 'South Carolina Book Award for Picture Book (2016)', ""Flicker Tale Children's Book Award for Picture Books (2015)"", 'Keystone to Reading Book Award for Primary (2015)', 'California Young Readers Medal for Primary (2016)', 'Wanda Gág Read Aloud Book Award (2014)', 'Monarch Award (2015)', 'Goodreads Choice Award for Picture Books (2013)', 'The Magnolia Award for K-2 (2015)', ""CBI Book of the Year for Children's Choice (2014)"", 'Hea Lasteraamat (2015)']",44747,"['27558', '11250', '3997', '1146', '796']",96.0,[],2016.0,Drew Daywalt,11445.0,9.19
The Definitive Book of Body Language,,3.98,English,"['Psychology', 'Nonfiction', 'Self Help', 'Communication', 'Business', 'Science', 'Personal Development', 'Reference', 'Sociology', 'Social']",Hardcover,400,Bantam,July 25th 2006,[],22326,"['7794', '8271', '4750', '1109', '402']",93.0,[],,Allan Pease,,
The Diary of a Bookseller,,3.78,English,"['Nonfiction', 'Books About Books', 'Memoir', 'Biography', 'Scotland', 'Biography Memoir', 'Audiobook', 'Humor', 'Contemporary', 'Autobiography']",Hardcover,310,Profile Books,September 28th 2017,[],15147,"['3628', '6136', '4078', '1020', '285']",91.0,"['Wigtown, Galloway, Scotland']",,Shaun Bythell,,
The Diary of a Young Girl,,4.15,English,"['Nonfiction', 'Classics', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography', 'War', 'World War II']",Mass Market Paperback,283,Bantam,07/28/93,['Luisterboek Award Nominee (2008)'],2741134,"['1266466', '859538', '438340', '112847', '63943']",94.0,['Amsterdam (Netherlands)'],,Anne Frank,,
The Dot,Creatrilogy,4.2,English,"['Picture Books', 'Art', 'Childrens', 'Fiction', 'Inspirational', 'Realistic Fiction', 'School', 'Growth Mindset', 'Storytime', 'Teaching']",Hardcover,32,Candlewick Press,September 15th 2003,"['Borders Original Voices Award for Picture Books (2003)', 'Irma Black Award Nominee (2004)']",27505,"['14984', '6496', '3618', '1285', '1122']",91.0,[],,Peter H. Reynolds,,
The Fault in Our Stars,,4.21,English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",Hardcover,313,Dutton Books,01/10/12,"['Georgia Peach Book Award (2013)', 'Buxtehuder Bulle (2012)', 'Odyssey Award (2013)', 'Audie Award for Teens (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2013)"", 'Rhode Island Teen Book Award (2014)', 'Evergreen Teen Book Award (2015)', 'Soaring Eagle Book Award (2014)', 'Milwaukee County Teen Book Award (2013)', 'Indies Choice Book Award for Young Adult (2013)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013)', 'Amelia Elizabeth Walden Award (2013)', 'Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013)', 'The Inky Awards for Silver Inky (2012)', 'California Young Readers Medal for Young Adult (2015)', 'Lincoln Award (2014)', 'Luisterboek Award (2015)', 'Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018)', 'Green Mountain Book Award (2014)', 'The Inky Awards Shortlist for Silver Inky (2012)', ""Louisiana Teen Readers' Choice (2015)"", 'Missouri Gateway Readers Award (2015)', 'Oklahoma Sequoyah Award for High School (2015)', 'Alabama Author Award for Young Adult (2013)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012)', 'FAB Award Nominee (2014)', 'Premi Protagonista Jove for Categoria 15-16 anys (2013)']",3550714,"['1784471', '1022406', '512574', '150365', '80898']",93.0,"['Indianapolis, Indiana (United States)', 'Amsterdam (Netherlands)']",2014.0,John Green,52613.0,12.99
The Five Dysfunctions of a Team: A Leadership Fable,,4.06,English,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Psychology', 'Entrepreneurship', 'Audiobook']",Hardcover,227,Jossey-Bass,April 11th 2002,[],79305,"['31349', '28676', '13991', '3349', '1940']",93.0,[],2015.0,Patrick Lencioni,3792.0,19.54
The Girl Who Drank the Moon,,4.1,English,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Audiobook', 'Dragons', 'Witches', 'Juvenile']",Hardcover,388,Algonquin Young Readers,August 9th 2016,"['Newbery Medal (2017)', 'Locus Award Nominee for Best Young Adult Book (2017)', 'Texas Bluebonnet Award Nominee (2018)', ""Dorothy Canfield Fisher Children's Book Award Nominee (2018)"", 'Andre Norton Award Nominee (2016)', ""William Allen White Children's Book Award Nominee (2019)"", 'NCTE Charlotte Huck Honor Book (2017)']",54401,"['22612', '19543', '8701', '2388', '1157']",93.0,[],,Kelly Barnhill,,
The Girl on the Train,,3.93,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,325,Riverhead Books,01/13/15,"['ITW Thriller Award Nominee for Best Hardcover Novel (2016)', 'Audie Award for Audiobook of the Year (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2016)', 'Goodreads Choice Award for Mystery & Thriller (2015)', 'Waterstones Book of the Year Nominee (2015)', ""Woman & Home Reader's Choice Award for Best Thriller Of The Year (2016)""]",2111336,"['689572', '802603', '444058', '123620', '51483']",92.0,"['London, England', 'England']",2016.0,Paula Hawkins,82328.0,0.25
The Giver,The Giver #1,4.13,English,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",Paperback,208,Ember,01/24/06,"['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)"", 'Grand Canyon Reader Award for Teen Book (1995)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995)', 'Golden Sower Award for Young Adult (1995)', ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995)"", 'Soaring Eagle Book Award Nominee (1996)', ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996)"", 'Boston Globe-Horn Book Award Nominee for Fiction (1993)', 'New Mexico Land of Enchantment Award (1997)', 'Eliot Rosewater Indiana High School Book Award (1997)', ""William Allen White Children's Book Award (1996)"", 'Wyoming Indian Paintbrush Nominee (1996)', ""NSK Neustadt Prize for Children's Literature Nominee (2013)"", 'Oklahoma Sequoyah Award for YA (1996)', ""Rebecca Caudill Young Readers' Book Award (1996)"", 'Hea Lasteraamat (2010)', 'Premi Protagonista Jove for Categoria 13-14 anys (2016)', 'Margaret A. Edwards Award (2007)']",1785054,"['786988', '591426', '293684', '77858', '35098']",94.0,[],,Lois Lowry,,
The Giver of Stars,,4.28,English,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Romance', 'Adult', 'Adult Fiction', 'Book Club', 'Books About Books', 'Chick Lit']",Hardcover,388,Pamela Dorman Books,October 8th 2019,['Goodreads Choice Award Nominee for Historical Fiction (2019)'],183231,"['83114', '74275', '21046', '3460', '1336']",97.0,"['Baileyville, Kentucky (United States)']",,Jojo Moyes,,
The Giving Tree,,4.37,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",Hardcover,64,HarperCollins Publishers,10/07/64,[],905731,"['556142', '204347', '94819', '27950', '22473']",94.0,[],2019.0,Shel Silverstein,15066.0,1.7
The Grand Design,,4.04,English,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Popular Science', 'Astronomy', 'Audiobook', 'Religion', 'History', 'Space']",Hardcover,199,Bantam,September 7th 2010,[],63503,"['24361', '23324', '11524', '2726', '1568']",93.0,[],2010.0,Stephen Hawking,2006.0,19.95
The Great Gatsby,,3.92,English,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",Paperback,200,Scribner,09/28/04,['Grammy Award Nominee for Best Spoken Word Album (2003)'],3775504,"['1345866', '1266424', '798955', '252115', '112144']",90.0,"['New York City, New York (United States)', 'New York State (United States)', 'Long Island, New York (United States)']",2012.0,F. Scott Fitzgerald,10819.0,8.74
The Greater Journey: Americans in Paris,,3.92,English,"['History', 'Nonfiction', 'France', 'Biography', 'American History', 'Travel', 'Art', 'Historical', 'Audiobook', '19th Century']",Hardcover,558,Simon & Schuster Adult Publishing Group,May 24th 2011,"['Andrew Carnegie Medal Nominee for Nonfiction (2012)', 'Marfield Prize (National Award for Arts Writing) Nominee (2011)', 'Goodreads Choice Award Nominee for History & Biography (2011)']",17862,"['5702', '6840', '3881', '1015', '424']",92.0,['France'],2011.0,David McCullough,1204.0,33.0
The Gruffalo,Gruffalo #1,4.47,English,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Fantasy', 'Poetry', 'Monsters', 'Storytime', 'Classics', 'Humor']",Paperback,32,MacMillan Children's Books,August 1st 1999,"['Blue Peter Book Award for Best Book to Read Aloud (2000)', 'Nestlé Smarties Book Prize for 0–5 years (1999)']",30755,"['19516', '7424', '2825', '652', '338']",97.0,[],,Julia Donaldson,,
The Guardians,,3.68,English,"['Science Fiction', 'Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Novels', 'School', '20th Century', 'British Literature', 'Childrens']",Mass Market Paperback,214,Collier,1972,"[""Guardian Children's Fiction Prize (1971)"", 'Deutscher Jugendliteraturpreis for Jugendbuch (1976)']",608,"['137', '218', '183', '59', '11']",88.0,[],,John Grisham,,
The Guernsey Literary and Potato Peel Pie Society,,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'War', 'Adult', 'Adult Fiction', 'Books About Books']",Paperback,291,Dial Press,07/10/18,"['Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",610392,"['266691', '220413', '91717', '22141', '9430']",95.0,"['United Kingdom', 'Guernsey']",2010.0,Mary Ann Shaffer,10026.0,0.94
The Guest Cat,,3.53,English,"['Fiction', 'Japan', 'Japanese Literature', 'Cats', 'Contemporary', 'Animals', 'Asia', 'Novels', 'Literary Fiction', 'Asian Literature']",Paperback,140,New Directions,January 28th 2014,[],16689,"['2599', '6136', '5842', '1752', '360']",87.0,['Tokyo (Japan)'],,Takashi Hiraide,,
The Handmaid's Tale,The Handmaid's Tale #1,4.11,English,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",Paperback,314,Anchor Books,04/28/98,"['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)', 'Los Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)']",1459245,"['616810', '517007', '227994', '64441', '32993']",93.0,"['Cambridge, Massachusetts (United States)', 'Republic of Gilead']",2017.0,Margaret Atwood,37046.0,7.99
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,The Harbinger #1,3.96,English,"['Christian', 'Fiction', 'Christian Fiction', 'Religion', 'Christianity', 'Mystery', 'Faith', 'Spirituality', 'Historical Fiction', 'Theology']",Paperback,262,Frontline,January 3rd 2012,[],21572,"['9461', '5708', '3709', '1517', '1177']",88.0,[],2013.0,Jonathan Cahn,13690.0,2.25
