title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Metro 2033,МЕТРО #1,4.0,English,"['Science Fiction', 'Fiction', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Russia', 'Apocalyptic', 'Russian Literature', 'Audiobook']",Paperback,458,Future Corp.,January 17th 2013,['Eurocon for Encouragement (2007)'],41414,"['14784', '15699', '7732', '2440', '759']",92.0,"['Moscow (Russian Federation)', 'Moscow (Russian Federation)']",,Dmitry Glukhovsky,,
Midnight Sun,The Twilight Saga #5,3.82,English,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Paranormal Romance', 'Audiobook', 'Supernatural', 'Urban Fantasy']",Hardcover,662,"Little, Brown Books for Young Readers",August 4th 2020,[],63518,"['21441', '19389', '14908', '5668', '2112']",88.0,[],2020.0,Stephenie Meyer,53493.0,13.32
Milk and Honey,,4.07,English,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",Paperback,204,Createspace,November 4th 2014,[],345201,"['165425', '90427', '52615', '23027', '13707']",89.0,[],2016.0,Rupi Kaur,24058.0,8.69
Milkman,,3.56,English,"['Fiction', 'Ireland', 'Literary Fiction', 'Historical Fiction', 'Irish Literature', 'Audiobook', 'Contemporary', 'Novels', 'Unfinished', 'Literature']",ebook,352,Faber & Faber,May 15th 2018,"['Booker Prize (2018)', 'Orwell Prize for Political Fiction (2019)', 'National Book Critics Circle Award for Fiction (2018)', ""Women's Prize for Fiction Nominee (2019)"", 'Rathbones Folio Prize Nominee (2019)']",40510,"['10657', '12509', '9360', '4872', '3112']",80.0,[],,Anna Burns,,
Mindset: The New Psychology of Success,,4.06,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",Hardcover,276,Random House,February 28th 2006,[],88388,"['35986', '30322', '15675', '4450', '1955']",93.0,[],2015.0,Carol S. Dweck,7544.0,10.14
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children #1,3.91,English,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Time Travel', 'Historical Fiction', 'Supernatural', 'Adventure']",Hardcover,352,Quirk,06/07/11,"[""Grand Prix de l'Imaginaire for Roman jeunesse étranger (2015)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2014)"", 'California Young Readers Medal Nominee for Young Adult (2016)', 'The Kitschies Nominee for Golden Tentacle (Debut) (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)']",977080,"['331709', '335251', '223102', '64434', '22584']",91.0,"['Englewood, Florida (United States)', 'Wales']",2011.0,Ransom Riggs,10925.0,14.16
Mr Stink,,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Novels', 'Comedy', 'Young Adult', 'Chapter Books', 'School', 'Contemporary']",Paperback,267,HarperCollins Children's,2009,['Hea Lasteraamat (2018)'],10835,"['5271', '3399', '1623', '382', '160']",95.0,[],,David Walliams,,
"My Sister, the Serial Killer",,3.74,English,"['Fiction', 'Thriller', 'Mystery', 'Contemporary', 'Crime', 'Audiobook', 'Africa', 'Mystery Thriller', 'Adult', 'Nigeria']",Hardcover,226,Doubleday Books,November 20th 2018,"['Booker Prize Nominee for Longlist (2019)', 'Los Angeles Times Book Prize for Mystery/Thriller (2018)', ""Women's Prize for Fiction Nominee (2019)"", 'Goodreads Choice Award Nominee for Mystery & Thriller and for Debut Novel (2019)', 'The Rooster -- The Morning News Tournament of Books (2019)']",149977,"['29186', '66197', '43299', '8904', '2391']",92.0,['Lagos (Nigeria)'],,Oyinkan Braithwaite,,
Never Split the Difference,,4.4,English,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Leadership', 'Communication', 'Audiobook', 'Management', 'Buisness']",Hardcover,274,Harper Business,May 17th 2016,[],58826,"['32947', '18476', '5750', '1086', '567']",97.0,[],,Chris Voss,,
Ninth House,Alex Stern #1,4.05,English,"['Fantasy', 'Fiction', 'Mystery', 'Adult', 'Paranormal', 'Urban Fantasy', 'Contemporary', 'Horror', 'Magic', 'Audiobook']",Hardcover,459,Flatiron Books,October 8th 2019,"['Locus Award Nominee for Best Fantasy Novel (2020)', 'Shirley Jackson Award Nominee for Best Novel (2019)', 'Audie Award Nominee for Fantasy (2020)', 'Goodreads Choice Award for Fantasy (2019)', 'Ladies of Horror Fiction Award Nominee for Best Novel (2019)']",86766,"['31909', '34591', '14769', '3909', '1588']",94.0,"['Yale University, New Haven, Connecticut (United States)']",,Leigh Bardugo,,
