title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
The 26-Storey Treehouse,Treehouse #2,4.3,English,"['Humor', 'Middle Grade', 'Childrens', 'Fiction', 'Adventure', 'Fantasy', 'Chapter Books', 'Juvenile', 'Graphic Novels', 'Comics']",Paperback,348,Pan Macmillan Australia,2012,"['2629', '1379', '673', '148', '61']",96,Missing,Missing,Andy Griffiths,Missing
The 39-Storey Treehouse,Treehouse #3,4.3,English,"['Fiction', 'Childrens', 'Fantasy', 'Humor', 'Middle Grade', 'Adventure', 'Graphic Novels', 'Chapter Books', 'Young Adult', 'Comedy']",Paperback,352,Pan MacMillan Australia,2013,"['2048', '1068', '518', '122', '49']",96,Missing,Missing,Andy Griffiths,Missing
Crime and Punishment,Missing,4.22,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",Paperback,671,Penguin Books,2002,"['315090', '188181', '84074', '26493', '13059']",94,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia (Russian Federation)']",Missing,Fyodor Dostoyevsky,Missing
A Gentleman in Moscow,Missing,4.34,English,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']",Paperback,462,Penguin Books,2019,"['161425', '87671', '31051', '8990', '4193']",96,"['Hotel Metropol, Moscow (Russian Federation)', 'Moscow (Russian Federation)']",Missing,Amor Towles,Missing
Alexander Hamilton,Missing,4.21,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical', 'Biography Memoir', 'American Revolution', 'Unfinished']",Paperback,818,Penguin Books,2005,"['64142', '40687', '15129', '4615', '4282']",93,['United States of America'],2016,Ron Chernow,13071
Little Fires Everywhere,Missing,4.1,English,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']",Paperback,368,Penguin Books,2020,"['250439', '315159', '119443', '21545', '6268']",96,"['Cleveland, Ohio (United States)', 'Shaker Heights, Ohio (United States)', 'Ohio (United States)', 'Pittsburgh, Pennsylvania (United States)']",2018,Celeste Ng,38284
Lord of the Flies,Missing,3.69,English,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",Paperback,182,Penguin Books,1999,"['617568', '763438', '555614', '205804', '120835']",86,Missing,2014,William Golding,15856
Meditations,Missing,4.22,English,"['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Spirituality', 'Personal Development', 'Leadership', 'Literature']",Paperback,303,Penguin Books,2006,"['62304', '37235', '17521', '4881', '2446']",94,['Roman Empire'],Missing,Marcus Aurelius,Missing
Of Mice and Men,Missing,3.88,English,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Paperback,103,Penguin Books,2002,"['634457', '681382', '437709', '132901', '55719']",90,"['Salinas Valley, California (United States)', 'California (United States)']",2014,John Steinbeck,13001
The Body,Missing,4.26,English,"['Horror', 'Fiction', 'Short Stories', 'Coming Of Age', 'Audiobook', 'Thriller', 'Young Adult', 'Mystery', 'Novella', 'Classics']",Paperback,80,Penguin Books,1999,"['17236', '12754', '5342', '918', '200']",97,"['Castle Rock, Maine (United States)']",Missing,Bill Bryson,Missing
Getting Things Done: The Art of Stress-Free Productivity,Missing,3.99,English,"['Nonfiction', 'Business', 'Productivity', 'Self Help', 'Personal Development', 'Management', 'Leadership', 'Psychology', 'Reference', 'Audiobook']",Paperback,267,Penguin Group,2002,"['49329', '43403', '24569', '7227', '4026']",91,Missing,2011,David Allen,3585
The Name of the Wind,The Kingkiller Chronicle #1,4.53,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']",Hardcover,662,Penguin Group,2007,"['490359', '150879', '47830', '15610', '11258']",96,Missing,Missing,Patrick Rothfuss,Missing
Everything I Never Told You,Missing,3.86,English,"['Fiction', 'Contemporary', 'Mystery', 'Historical Fiction', 'Audiobook', 'Adult', 'Literary Fiction', 'Adult Fiction', 'Family', 'Book Club']",Hardcover,292,Penguin Press,2014,"['87049', '144847', '84391', '17686', '4901']",93,['Ohio (United States)'],Missing,Celeste Ng,Missing
In Defense of Food: An Eater's Manifesto,Missing,04.08,English,"['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'Cooking', 'Environment', 'Foodie', 'Sustainability']",Hardcover,205,Penguin Press,2008,"['36595', '42545', '19031', '3282', '1002']",96,Missing,2010,Michael Pollan,1884
On Earth We're Briefly Gorgeous,Missing,04.05,English,"['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Literary Fiction', 'Queer', 'Novels', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,246,Penguin Press,2019,"['26968', '25186', '13268', '3613', '1099']",93,Missing,Missing,Ocean Vuong,Missing
