title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Harry Potter and the Goblet of Fire,Harry Potter #4,4.56,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,734,Scholastic Inc.,2002,"['1729403', '640440', '187274', '26301', '11204']",99,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",Missing,J.K. Rowling,Missing
Holes,Holes #1,3.97,English,"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']",Paperback,233,Scholastic Inc.,2000,"['348320', '336345', '212135', '52958', '19754']",93,"['Green Lake, Texas (United States)']",Missing,Louis Sachar,Missing
Harry Potter and the Sorcerer's Stone,Harry Potter #1,4.47,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']",Hardcover,309,Scholastic Inc.,2003,"['4578137', '1611874', '600384', '139551', '118525']",96,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",2016,J.K. Rowling,4231
Harry Potter and the Half-Blood Prince,Harry Potter #6,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,652,Scholastic Inc.,2006,"['1646703', '584575', '167461', '27277', '11642']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'England']",Missing,J. K. Rowling,Missing
Harry Potter and the Order of the Phoenix,Harry Potter #5,4.5,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,870,Scholastic Inc.,2004,"['1593642', '637516', '222366', '39573', '14526']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",Missing,J. K. Rowling,Missing
Harry Potter and the Prisoner of Azkaban,Harry Potter #3,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Mass Market Paperback,435,Scholastic Inc.,2004,"['1892635', '668920', '205266', '27227', '12423']",99,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",Missing,J. K. Rowling,Missing
Call Down the Hawk,Dreamer Trilogy #1,4.36,English,"['Fantasy', 'Young Adult', 'LGBT', 'Fiction', 'Urban Fantasy', 'Paranormal', 'Magical Realism', 'Young Adult Fantasy', 'Audiobook', 'Queer']",Hardcover,472,Scholastic Press,2019,"['9591', '6731', '1910', '340', '109']",98,Missing,Missing,Maggie Stiefvater,Missing
The Hunger Games,The Hunger Games #1,4.33,English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Hardcover,374,Scholastic Press,2008,"['3444695', '1921313', '745221', '171994', '93557']",96,"['District 12, Panem', 'Capitol, Panem', 'Panem (United States)']",2010,Suzanne Collins,34030
The Invention of Hugo Cabret,Missing,4.22,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Graphic Novels', 'Middle Grade', 'Fantasy', 'Mystery', 'Historical', 'Picture Books']",Hardcover,533,Scholastic Press,2007,"['77330', '54165', '23792', '5289', '2328']",95,['Paris (France)'],2011,Brian Selznick,1778
The Raven Boys,The Raven Cycle #1,04.05,English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Audiobook', 'Supernatural', 'Young Adult Fantasy']",Hardcover,409,Scholastic Press,2012,"['107672', '96096', '45253', '13393', '7532']",92,"['Henrietta, Virginia (United States)']",Missing,Maggie Stiefvater,Missing
All the Light We Cannot See,Missing,4.33,English,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",Hardcover,531,Scribner Book Company,2014,"['541185', '329482', '113565', '27961', '12249']",96,"['Paris (France)', 'Zollverein (Germany)', 'Evreux (France)', 'Saint-Malo (France)', 'Essen (Germany)', 'Berlin (Germany)', 'Schulpforte (Germany)', 'Vienna (Austria)', 'Épernay (France)', 'Nuremberg (Germany)']",2014,Anthony Doerr,40382
"Full Dark, No Stars",Missing,04.06,English,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Audiobook', 'Anthologies', 'Fantasy', 'Crime']",Hardcover,368,Scribner Book Company,2010,"['32610', '38083', '17346', '3160', '1051']",95,['United States of America'],2010,Stephen King,2423
The Great Gatsby,Missing,3.92,English,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",Paperback,200,Scribner Book Company,2004,"['1345866', '1266424', '798955', '252115', '112144']",90,"['New York City, New York (United States)', 'New York State (United States)', 'Long Island, New York (United States)']",2011,F. Scott Fitzgerald,10814
Bad Blood,Alexandra Cooper #9,3.87,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Legal Thriller', 'Novels', 'Audiobook', 'New York']",Hardcover,416,Scribner Book Company,2007,"['1104', '1686', '1026', '169', '95']",94,Missing,Missing,John Carreyrou,Missing
The Art of War,Missing,3.97,English,"['Nonfiction', 'Classics', 'Philosophy', 'History', 'War', 'Business', 'Politics', 'Military Fiction', 'China', 'Leadership']",Paperback,273,Shambhala,2005,"['117995', '112786', '75545', '18186', '5303']",93,Missing,Missing,Sun Tzu,Missing
Rage,Missing,3.77,English,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Novels', 'Short Stories', 'Suspense', 'Audiobook', 'American', 'Mystery Thriller']",Paperback,131,Signet,1977,"['9319', '11519', '9642', '2652', '660']",90,Missing,2020,Bob Woodward,23281
Animal Farm,Missing,3.95,English,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']",Mass Market Paperback,141,Signet Classics,1996,"['986764', '958699', '545475', '165093', '84682']",91,"['England', 'United Kingdom']",Missing,George Orwell,Missing
Fahrenheit 451,Missing,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Kindle Edition,194,Simon & Schuster,2011,"['612098', '604888', '331815', '91160', '40178']",92,Missing,2014,Ray Bradbury,15019
Leonardo da Vinci,Missing,4.14,English,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook', 'Italy', 'Historical', 'Art History']",Hardcover,600,Simon & Schuster,2017,"['28621', '19782', '8552', '2596', '1995']",93,Missing,2017,Walter Isaacson,3730
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Missing,4.14,English,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Presidents', 'Audiobook', 'Biography Memoir', 'Journalism', 'Historical']",Hardcover,910,Simon & Schuster,2013,"['7682', '6943', '2441', '626', '453']",94,Missing,2013,Doris Kearns Goodwin,2291
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,Missing,3.76,English,"['History', 'Nonfiction', 'American History', 'Audiobook', 'Historical', 'Biography', 'Adventure', 'Westerns', 'Adult', '19th Century']",Kindle Edition,352,Simon & Schuster,2019,"['3197', '5491', '3949', '828', '284']",92,"['Ohio (United States)', 'Indiana (United States)', 'Michigan (United States)', 'Illinois (United States)', 'Wisconsin (United States)']",2019,David McCullough,4192
The Wright Brothers,Missing,4.14,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Historical', 'Biography Memoir', 'Science', 'Technology']",Hardcover,320,Simon & Schuster,2015,"['32717', '26918', '10171', '2736', '2256']",93,Missing,2015,David McCullough,6495
What Happened,Missing,3.92,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'Audiobook', 'History', 'Feminism', 'Biography Memoir', 'Autobiography', 'Womens']",Kindle Edition,512,Simon & Schuster,2017,"['17257', '21237', '10002', '2556', '2113']",91,Missing,2017,Hillary Rodham Clinton,5989
Spoken from the Heart,Missing,3.99,English,"['Nonfiction', 'Memoir', 'Politics', 'Biography', 'Presidents', 'History', 'Biography Memoir', 'Autobiography', 'Contemporary', 'Adult']",Hardcover,464,Simon & Schuster,2010,"['2459', '2832', '1600', '323', '103']",94,Missing,2010,Laura Bush,563
The Greater Journey: Americans in Paris,Missing,3.92,English,"['History', 'Nonfiction', 'France', 'Biography', 'American History', 'Travel', 'Art', 'Historical', 'Audiobook', '19th Century']",Hardcover,558,Simon & Schuster,2011,"['5702', '6840', '3881', '1015', '424']",92,['France'],2011,David McCullough,1204
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Missing,4.3,English,"['Politics', 'Nonfiction', 'History', 'Audiobook', 'Political Science', 'American History', 'American', 'Social Science', 'Economics', 'Adult']",Audio CD,7,Simon & Schuster,2018,"['2355', '1368', '499', '123', '94']",95,Missing,2018,Tucker Carlson,4940
Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante #1,4.33,English,"['Young Adult', 'LGBT', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Queer', 'Coming Of Age', 'Young Adult Contemporary']",Hardcover,359,Simon & Schuster,2012,"['145725', '72372', '29294', '7968', '4557']",95,"['El Paso, Texas (United States)', 'Texas (United States)']",Missing,Benjamin Alire Saenz,Missing
The Toll,Arc of a Scythe #3,4.26,English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Audiobook', 'Romance', 'Young Adult Fantasy', 'Teen', 'Science Fiction Fantasy']",Hardcover,625,Simon & Schuster,2019,"['20241', '15135', '5864', '1194', '300']",97,Missing,Missing,Neal Shusterman,Missing
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Missing,3.7,English,"['Nonfiction', 'Spirituality', 'Religion', 'Memoir', 'Biography', 'Science', 'Christian', 'Inspirational', 'Medical', 'Faith']",Paperback,196,Simon & Schuster,2012,"['14777', '16365', '13662', '4876', '2370']",86,Missing,2012,Eben Alexander,14169
Principles: Life and Work,Missing,4.12,English,"['Business', 'Nonfiction', 'Self Help', 'Leadership', 'Finance', 'Personal Development', 'Philosophy', 'Biography', 'Management', 'Economics']",Audio CD,592,Simon & Schuster,2017,"['14288', '10448', '5045', '1575', '767']",93,Missing,2017,Ray Dalio,6555
Looking for Alaska,Missing,04.02,English,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']",Paperback,221,Speak,2006,"['455206', '350955', '210930', '68230', '27901']",91,['Alabama (United States)'],2013,John Green,10010
Paper Towns,Missing,3.8,English,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Adventure', 'Young Adult Contemporary']",Paperback,305,Speak,2009,"['280793', '302511', '232162', '77816', '26055']",89,"['Orlando, Florida (United States)', 'Agloe, New York (United States)']",2014,John Green,8374
Between the World and Me,Missing,4.39,English,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Biography', 'Social Justice', 'Essays', 'Politics', 'African American']",Hardcover,152,Spiegel & Grau,2015,"['136056', '69174', '20504', '5880', '3725']",96,['United States of America'],2015,Ta-Nehisi Coates,14486
Just Mercy: A Story of Justice and Redemption,Missing,4.6,English,"['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook', 'Law', 'Biography', 'Anti Racist']",Hardcover,336,Spiegel & Grau,2014,"['101156', '31163', '7081', '2050', '1608']",97,['Alabama (United States)'],2020,Bryan Stevenson,15340
Blue Moon,The Immortals #2,3.61,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Teen']",Paperback,284,St. Martin's Griffin,2009,"['24272', '24013', '23916', '10558', '4573']",83,"['Laguna Beach, California (United States)']",Missing,Lee Child,Missing
Untamed,House of Night #4,3.95,English,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",Paperback,338,St. Martin's Griffin,2008,"['84284', '61613', '46235', '15082', '6355']",90,"['United States of America', 'Tulsa, Oklahoma (United States)']",2020,Glennon Doyle,32702
Sarah's Key,Missing,4.16,English,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'World War II', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']",Hardcover,294,St. Martins Press,2007,"['176239', '159657', '64355', '14599', '4694']",95,"['Paris (France)', 'Paris (France)']",2010,Tatiana de Rosnay,3951
Humans of New York,Missing,4.48,English,"['Nonfiction', 'Photography', 'Art', 'New York', 'Adult', 'Biography', 'Travel', 'Art and Photography', 'Inspirational', 'American']",Hardcover,304,St. Martin's Press,2013,"['10258', '4251', '1442', '248', '133']",98,['New York State (United States)'],2013,Brandon Stanton,4078
The Nightingale,Missing,4.57,English,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult', 'France', 'Adult Fiction', 'Romance']",Hardcover,440,St. Martin's Press,2015,"['478549', '162598', '40635', '10226', '5791']",98,"['Paris (France)', 'Loire Valley (France)', 'Pyrenees', 'Oregon Coast (United States)', 'Carriveau (France)', 'Portland, Oregon (United States)', 'Ravensbrück (Germany)', 'Paris (France)']",Missing,Kristin Hannah,Missing
Year One,Chronicles of The One #1,04.01,English,"['Fantasy', 'Fiction', 'Dystopia', 'Paranormal', 'Romance', 'Urban Fantasy', 'Post Apocalyptic', 'Magic', 'Science Fiction', 'Audiobook']",Hardcover,419,St. Martin's Press,2017,"['27696', '21804', '11198', '3881', '2666']",90,"['New York City, New York (United States)']",Missing,Nora Roberts,Missing
Emotional Intelligence 2.0,Missing,3.84,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Personal Development', 'Management', 'Buisness', 'Relationships', 'Science']",Hardcover,255,Talentsmart,2009,"['23606', '22910', '17074', '4950', '2577']",89,Missing,2011,Travis Bradberry,5981
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Magic Cleaning #1,3.84,English,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Japan', 'How To', 'Adult', 'Productivity', 'Reference']",Hardcover,213,Ten Speed Press,2014,"['87635', '96062', '67288', '20499', '7576']",90,Missing,2015,Marie Kondō,24520
The Omnivore's Dilemma: A Natural History of Four Meals,Missing,4.17,English,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment', 'Cooking', 'Audiobook', 'Politics']",Hardcover,450,The Penguin Press,2006,"['76966', '70543', '26440', '5787', '2499']",95,Missing,2010,Michael Pollan,2534
Fifty Shades Darker,Fifty Shades #2,3.84,English,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotic Romance', 'Adult Fiction']",Paperback,532,The Writer's Coffee Shop Publishing House,2011,"['307884', '178317', '139476', '71981', '47393']",84,"['Seattle, Washington (United States)']",2012,E L James,26461
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Missing,4.49,English,"['Nonfiction', 'Christian', 'Faith', 'Self Help', 'Religion', 'Christian Living', 'Spirituality', 'Audiobook', 'Christianity', 'Inspirational']",Paperback,240,Thomas Nelson,2018,"['14695', '5502', '1905', '500', '185']",97,Missing,2018,Bob Goff,4195
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Heaven is For Real,04.02,English,"['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Spirituality', 'Memoir', 'Biography', 'Faith', 'Christianity', 'Christian Non Fiction']",Paperback,162,Thomas Nelson,2010,"['121313', '77785', '49855', '16966', '11051']",90,Missing,2011,Todd Burpo,16128
The Magnolia Story,Missing,4.19,English,"['Nonfiction', 'Biography', 'Memoir', 'Audiobook', 'Autobiography', 'Biography Memoir', 'Christian', 'Adult', 'Inspirational', 'Business']",Kindle Edition,208,Thomas Nelson,2016,"['39383', '26476', '11133', '2957', '2294']",94,Missing,2016,Chip Gaines,8634
Humans,Neanderthal Parallax #2,3.82,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Canada', 'Alternate History', 'Audiobook', 'Alternate Universe', 'Romance', 'Speculative Fiction']",Paperback,352,Tor Books,2011,"['1436', '2138', '1387', '343', '108']",92,"['Toronto, Ontario (Canada)']",2020,Brandon Stanton,7099
"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits",Missing,3.63,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Cookbooks', 'Biography', 'Food', 'Cooking', 'Autobiography', 'Biography Memoir', 'Adult']",Kindle Edition,299,Touchstone,2018,"['5346', '7488', '7072', '2277', '768']",87,Missing,2018,Reese Witherspoon,2877
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Missing,4.47,English,"['Psychology', 'Nonfiction', 'Self Help', 'Mental Health', 'Health', 'Science', 'Social Work', 'Counselling', 'Audiobook', 'Medicine']",Hardcover,443,Viking,2014,"['24561', '9957', '2802', '829', '621']",96,Missing,2018,Bessel van der Kolk M.D.,19875
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in The Boat,4.35,English,"['Nonfiction', 'History', 'Sports', 'Biography', 'Historical', 'Audiobook', 'Book Club', 'World War II', 'American History', 'Memoir']",Hardcover,404,Viking,2013,"['123705', '66345', '22645', '6013', '3794']",96,['Berlin (Germany)'],2014,Daniel James Brown,6742
The Invention of Wings,Missing,4.24,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Adult', 'Novels', 'African American', 'Southern']",Hardcover,384,Viking,2014,"['114842', '107431', '33773', '5446', '2131']",97,"['Charleston, South Carolina (United States)']",2014,Sue Monk Kidd,15174
The Laws of Human Nature,Missing,4.39,English,"['Psychology', 'Nonfiction', 'Philosophy', 'Self Help', 'History', 'Personal Development', 'Business', 'Audiobook', 'Leadership', 'Sociology']",Kindle Edition,624,Viking,2018,"['3918', '1843', '704', '175', '84']",96,Missing,Missing,Robert Greene,Missing
The Travelling Cat Chronicles,Missing,4.29,English,"['Fiction', 'Japan', 'Contemporary', 'Animals', 'Cats', 'Japanese Literature', 'Audiobook', 'Asia', 'Literary Fiction', 'Adult']",Kindle Edition,288,Viking,2018,"['12503', '8733', '3405', '704', '139']",97,Missing,Missing,Hiro Arikawa,Missing
Trainspotting,Mark Renton #2,04.07,English,"['Fiction', 'Contemporary', 'Classics', 'Novels', 'Thriller', 'Mystery', 'Scotland', 'Crime', 'Drama', 'Dark']",Paperback,430,Vintage,1994,"['59931', '57342', '25411', '6724', '3700']",93,"['London, England', 'Edinburgh, Scotland', 'Scotland']",Missing,Irvine Welsh,Missing
We Should All Be Feminists,Missing,4.45,English,"['Nonfiction', 'Feminism', 'Essays', 'Audiobook', 'Politics', 'Womens', 'Africa', 'Social Justice', 'Adult', 'Gender']",Kindle Edition,52,Vintage Books,2014,"['102779', '51988', '15688', '2796', '1262']",98,Missing,Missing,Chimamanda Ngozi Adichie,Missing
What We Talk About When We Talk About Love,Missing,4.15,English,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'American', 'Contemporary', 'Literary Fiction', '20th Century', 'The United States Of America', 'Love']",Paperback,159,Vintage Books,1989,"['19963', '17248', '7400', '1893', '561']",95,Missing,Missing,Raymond Carver,Missing
"Will You Please Be Quiet, Please?",Missing,4.24,English,"['Short Stories', 'Fiction', 'Classics', 'American', 'Literature', '20th Century', 'The United States Of America', 'Contemporary', 'Literary Fiction', 'Americana']",Paperback,181,Vintage Random House,2003,"['6543', '5159', '1879', '422', '133']",96,Missing,Missing,Raymond Carver,Missing
Norse Mythology,Missing,04.08,English,"['Fantasy', 'Mythology', 'Fiction', 'Audiobook', 'Short Stories', 'Classics', 'Adult', 'Historical Fiction', 'Retellings', 'Religion']",Paperback,301,W. W. Norton Company,2018,"['77206', '90549', '37767', '6564', '2747']",96,Missing,2017,Neil Gaiman,8355
Astrophysics for People in a Hurry,Missing,04.08,English,"['Nonfiction', 'Science', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History', 'Popular Science', 'Adult', 'Education']",Hardcover,224,W. W. Norton Company,2017,"['41004', '46546', '20275', '3691', '1550']",95,Missing,2017,Neil deGrasse Tyson,12157
Boomerang: Travels in the New Third World,Missing,3.9,English,"['Nonfiction', 'Economics', 'Business', 'Finance', 'History', 'Politics', 'Travel', 'Audiobook', 'Journalism', 'Money']",Paperback,218,W. W. Norton Company,2012,"['11814', '16937', '9234', '1877', '927']",93,Missing,2011,Michael Lewis,1448
The Big Short: Inside the Doomsday Machine,Liar's Poker #2,4.29,English,"['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook', 'Money', 'Journalism', 'Contemporary']",Paperback,320,W. W. Norton Company,2015,"['63648', '49951', '15062', '2844', '1413']",97,Missing,2010,Michael Lewis,3943
The Overstory,Missing,4.13,English,"['Fiction', 'Nature', 'Literary Fiction', 'Environment', 'Contemporary', 'Novels', 'Historical Fiction', 'Literature', 'Book Club', 'Audiobook']",Paperback,502,W. W. Norton Company,2019,"['32529', '23534', '11554', '3583', '1422']",93,Missing,Missing,Richard Powers,Missing
Don't Let the Pigeon Drive the Bus!,Pigeon,4.3,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Animals', 'Storytime', 'Fantasy', 'Birds', 'Transport', 'Kids']",Hardcover,40,Walker Books Ltd,2004,"['45941', '19006', '10203', '3222', '1692']",94,Missing,Missing,Mo Willems,Missing
Life,Missing,3.87,English,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook', 'History', 'Rock N Roll', 'Pop Culture']",Hardcover,564,Weidenfeld & Nicolson,2010,"['26771', '29310', '17505', '5484', '3034']",90,Missing,2010,Keith Richards,3153
Coraline,Missing,04.06,English,"['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Audiobook', 'Paranormal', 'Adventure', 'Supernatural']",Paperback,162,William Morrow Paperbacks,2006,"['190269', '173080', '87552', '20055', '10591']",94,['England'],Missing,Neil Gaiman,Missing
Orphan Train,Missing,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult Fiction', 'Adult', 'Young Adult', 'Audiobook', 'Adoption', 'Contemporary']",Paperback,278,William Morrow Paperbacks,2013,"['145679', '159626', '56072', '8882', '2580']",97,['Maine (United States)'],2014,Christina Baker Kline,22582
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Missing,04.02,English,"['Christian', 'Nonfiction', 'Faith', 'Christian Living', 'Spirituality', 'Christianity', 'Inspirational', 'Self Help', 'Religion', 'Christian Non Fiction']",Hardcover,232,Zondervan,2011,"['21798', '12430', '7821', '3277', '2221']",88,Missing,2011,Ann Voskamp,3575
